,cell_1,cell_2,tension,relative_adhesion,log_tension,log_adhesion
2061,cell_792,cell_794,50.856817793111006,8.233586870161461e-18,3.929014190067799,-39.33830992545439
2062,cell_792,cell_808,48.827107098963054,2.1705112965072297e-17,3.8882856319803,-38.368983820590316
2063,cell_792,cell_809,77.70309824525818,4.060895644470233e-17,4.352895131034984,-37.74254302952794
2064,cell_793,cell_794,37.61304122562457,2.388744738809794e-18,3.627350831367413,-40.575763659809645
2065,cell_793,cell_805,13.437949441864289,1.1554199072063935e-18,2.5980827521649608,-41.30206783996669
2066,cell_793,cell_813,75.87010345202775,7.532913737480398e-19,4.329022712892322,-41.72983484939251
2067,cell_794,cell_809,126.61947567687982,4.201281268369823e-18,4.841186334188751,-40.01114213122845
2068,cell_794,cell_813,64.21972207385777,8.89935977307395e-18,4.162310360932566,-39.26055233535189
2069,cell_795,cell_804,128.8942033705694,2.8476440322249966e-17,4.858991938961653,-38.097454583845824
2070,cell_795,cell_810,349.3873258530188,2.0566658312189658e-18,5.856181123009464,-40.72544553085816
2071,cell_795,cell_827,87.7022744455605,5.810577201620859e-17,4.473947833426801,-37.38426666873524
2072,cell_795,cell_829,147.03667972533978,3.910915123646329e-17,4.990682077594402,-37.78017518731785
2073,cell_795,cell_838,138.51896447689276,3.5844276670129465e-17,4.931007243884656,-37.867347766171434
2074,cell_796,cell_811,39.56281230225117,1.8936473829113156e-17,3.6778895937690024,-38.50544177933297
2075,cell_796,cell_815,30.59924438655887,6.0277739938292095e-18,3.4209753154037417,-39.6501538865605
2076,cell_797,cell_804,51.57870304728295,3.7393053205540813e-17,3.9431088556485667,-37.825046729892094
2077,cell_797,cell_805,89.97876780369738,8.02931227602224e-18,4.499573729206095,-39.363432793932816
2078,cell_797,cell_820,316.6098940860489,5.35776618359212e-18,5.757670398020038,-39.767984542469875
2079,cell_797,cell_821,116.93776915941012,2.393606034931955e-18,4.7616419057689985,-40.57373064381959
2080,cell_797,cell_828,154.95344370087983,1.7773947994096376e-17,5.0431247085810496,-38.56879788453466
2081,cell_798,cell_806,175.48883984853651,3.9240962515377435e-17,5.167575450277322,-37.776810510562306
2082,cell_798,cell_807,10.243795858286177,9.310312746541867e-17,2.326672240208822,-36.91282389763461
2083,cell_799,cell_803,300.53145338034267,5.51961935676589e-17,5.705552418648615,-37.43563768009505
2084,cell_799,cell_812,322.69599663468165,3.0547221639430676e-17,5.776710693138638,-38.02725793711043
2085,cell_799,cell_818,443.58450235720846,3.265133982405581e-17,6.09488831879111,-37.9606457830535
2086,cell_799,cell_824,338.80692540853926,2.7271859608101145e-17,5.825430403562312,-38.140676286910704
2087,cell_800,cell_802,24.266355406338736,7.605558471458633e-17,3.189090839790403,-37.11506722310941
2088,cell_800,cell_822,43.096691505283374,1.734871322220729e-16,3.7634462309447723,-36.290428243123344
2089,cell_801,cell_806,111.40389971057672,1.0500685145946456e-16,4.71316233325908,-36.79250607386922
2090,cell_801,cell_816,83.42678535285947,1.243968973338558e-16,4.423969425101997,-36.623054434944954
2091,cell_801,cell_830,88.04179239079288,2.0782941748475082e-17,4.477811615274204,-38.412399131904685
2092,cell_802,cell_822,28.03628606411269,3.197489578346366e-17,3.3334996020427465,-37.98158058574633
2093,cell_803,cell_812,20.40791155525464,1.1255295065042948e-16,3.015922647002926,-36.723107890531615
2094,cell_804,cell_821,93.28016675275784,3.4281734034413423e-18,4.535607510258794,-40.21450409000217
2095,cell_804,cell_829,124.9634348771737,3.641121846097973e-17,4.828021173527083,-37.85165474725637
2096,cell_804,cell_836,124.79214573833391,3.9714411946290614e-17,4.826649519165859,-37.764817530758826
2097,cell_805,cell_813,77.01045085424109,3.496356487831242e-18,4.343941138023582,-40.194810251094694
2098,cell_805,cell_820,235.4549110140057,9.798511728072763e-18,5.461519434463144,-39.16430116423125
2099,cell_806,cell_807,172.6072648973159,5.397955989285629e-17,5.1510188687097385,-37.45792621948818
2100,cell_806,cell_830,159.3043298648453,4.886974082362054e-17,5.070816397116896,-37.55737326600889
2101,cell_806,cell_831,148.60803188245313,5.737805252627892e-17,5.001312181175973,-37.39686980385495
2102,cell_806,cell_837,192.7397191371443,1.5368704773790114e-17,5.26134067321104,-38.71419838965313
2103,cell_807,cell_818,263.1456491924868,2.264674259271876e-17,5.57270767809855,-38.326515647197134
2104,cell_807,cell_831,176.90247253088629,2.6314568898814366e-17,5.175598578065723,-38.176408937557795
2105,cell_808,cell_809,50.0522763012627,7.892522197732066e-17,3.9130679852717303,-37.07803082694311
2106,cell_808,cell_816,179.96257700628954,5.5078372965624123e-17,5.192748923754248,-37.43777453994535
2107,cell_808,cell_825,19.505332486136567,1.1742415567573047e-16,2.9706878890136204,-36.68073903233365
2108,cell_808,cell_834,203.13342212058,1.4438132791727792e-17,5.313863014971917,-38.776658856841244
2109,cell_808,cell_840,248.3655287505024,5.008894744388106e-18,5.514901567283314,-39.835316393036564
2110,cell_809,cell_813,107.19409369595654,4.4629155789833535e-17,4.674641150999046,-37.648144311186016
2111,cell_809,cell_823,146.21197917326643,2.188388535020008e-17,4.985057480848682,-38.36078113668321
2112,cell_809,cell_825,68.58132835593442,4.8688064978686586e-17,4.228020316283387,-37.561097746145634
2113,cell_810,cell_826,421.50930405583466,2.5340834110805898e-17,6.043841850877613,-38.214114582777334
2114,cell_810,cell_827,306.3507127237917,3.292816434885821e-17,5.724730565670644,-37.95220332309541
2115,cell_810,cell_844,274.7214164025634,2.7389332326682002e-17,5.615757552940196,-38.136378067450835
2116,cell_811,cell_815,54.28747567871812,2.2342093184242524e-18,3.9942935498519634,-40.642644280936665
2117,cell_811,cell_835,18.256257635150146,1.441019014016485e-17,2.9045079053749916,-38.77859606895353
2118,cell_812,cell_814,140.76430638818388,2.8425016544429154e-16,4.947086905820185,-35.79667695922438
2119,cell_812,cell_824,54.87119105588662,2.0792031130128784e-16,4.0049884577040125,-36.10937678634405
2120,cell_813,cell_820,180.8096865158412,5.002981499007249e-17,5.197445022384894,-37.533912546379305
2121,cell_813,cell_823,79.39609322825383,2.2967274096126128e-17,4.374449163368165,-38.31246133658369
2122,cell_814,cell_819,100.8417129010782,4.217201605506579e-16,4.613552088501099,-35.40218970647975
2123,cell_814,cell_824,179.247878101881,7.344092293641203e-17,5.188769641763255,-37.15005036044261
2124,cell_814,cell_849,286.6972427882072,5.281271655827372e-17,5.6584267557806704,-37.479779668272144
2125,cell_815,cell_826,463.8920103563789,5.2408943213330805e-17,6.1396517888380515,-37.48745442511851
2126,cell_815,cell_835,52.51564361020503,8.429692603894259e-17,3.9611110987399982,-37.012186274093835
2127,cell_815,cell_853,87.2575343031351,2.781667139410135e-17,4.468863910398856,-38.12089614250338
2128,cell_815,cell_856,85.71855153222926,3.546411587327112e-17,4.4510692727984615,-37.87801030910623
2129,cell_816,cell_830,7.828424454775182,7.307985272354536e-17,2.0577612706973545,-37.1549789576622
2130,cell_816,cell_834,45.32264146777828,4.8978360392505764e-17,3.813806719275484,-37.555153097969814
2131,cell_817,cell_819,118.20136429545288,1.681054126706794e-16,4.772389647168101,-36.321940434884915
2132,cell_818,cell_824,212.96814444863367,2.4664136603917457e-17,5.36114259794554,-38.24118144472889
2133,cell_818,cell_833,52.63812160473782,3.3849447663979923e-17,3.9634406025798063,-37.924608991832216
2134,cell_820,cell_823,224.1142220686525,3.163209428889865e-18,5.412155841839383,-40.29494451965568
2135,cell_820,cell_828,288.048212141075,3.4286173767901575e-17,5.663127869393204,-37.91178949813215
2136,cell_820,cell_832,114.04233508025384,6.700224286099646e-17,4.73656973981041,-37.241805579524886
2137,cell_820,cell_841,219.92811975858345,1.5585509194528694e-17,5.393300764594943,-38.70019008911685
2138,cell_821,cell_828,140.59379571531315,4.525054703445142e-18,4.945874851200322,-39.93690200765486
2139,cell_821,cell_836,130.58163719541645,2.701733417807897e-18,4.8719986035525835,-40.45263810028509
2140,cell_821,cell_843,204.04552103892365,1.4987637749016878e-18,5.31834311129933,-41.04189105564858
2141,cell_822,cell_846,333.0172510456875,6.915567243073084e-17,5.808194293580619,-37.210171588333225
2142,cell_822,cell_851,285.62305253479457,5.923680547996866e-17,5.654672943366299,-37.3649886109984
2143,cell_823,cell_825,124.299742533286,3.6536292734967404e-17,4.822695927181343,-37.848225585808606
