,cell_1,cell_2,tension,relative_adhesion,log_tension,log_adhesion
799,cell_304,cell_320,345.2492543164304,1.0494735473554411e-17,5.844266632450517,-39.09565792593507
800,cell_305,cell_308,86.15392538476141,4.7497837168824164e-17,4.456135526471733,-37.58584749717681
801,cell_305,cell_316,111.4665589244678,7.496688898788758e-17,4.713724625955257,-37.12948513799907
802,cell_305,cell_318,85.39003788344797,7.432174333141712e-18,4.4472294415714595,-39.440713215559825
803,cell_305,cell_326,89.60005974091384,6.304925994641734e-17,4.495355986731933,-37.30261534911752
804,cell_306,cell_320,347.9118162843538,5.240138425058381e-18,5.851949046181152,-39.79018375891292
805,cell_306,cell_335,153.1605213668408,2.7135015044384005e-16,5.031486530669902,-35.84312161895629
806,cell_307,cell_325,74.55806094732029,5.746545113166988e-17,4.311578163431329,-37.39534775655615
807,cell_307,cell_332,67.77726490246057,2.5795160747066128e-17,4.216226812789631,-38.19634476750149
808,cell_308,cell_318,37.382790075731904,2.7537869841472594e-17,3.621210440112228,-38.130969531388
809,cell_308,cell_323,18.395748253322257,5.129636975150162e-17,2.9121195647244096,-37.508911689298
810,cell_309,cell_317,336.35962086411826,5.2815783000085696e-17,5.818180887791147,-37.47972160739226
811,cell_309,cell_331,186.5182620749751,7.69735376797998e-17,5.22852915426308,-37.10306997760211
812,cell_309,cell_348,500.0756447555345,2.5989584557892756e-17,6.214759376490157,-38.188835810057725
813,cell_310,cell_338,65.00235228468776,3.2280846252338054e-17,4.174423458236028,-37.9720576148391
814,cell_311,cell_322,182.601580885071,3.711524675551275e-17,5.2073066257634295,-37.83250382494146
815,cell_311,cell_340,149.07386462615167,2.821078767934203e-17,5.004441918855073,-38.10682722727858
816,cell_312,cell_324,202.58220579735715,6.654137083002691e-18,5.311145758724187,-39.55129289491531
817,cell_313,cell_328,94.36856799329864,3.965242740597592e-17,4.547208051533227,-37.76637950685421
818,cell_315,cell_317,66.17814558222528,9.243385552036057e-17,4.1923502812822795,-36.920038360618406
819,cell_316,cell_326,76.99024131820256,2.9198222802169785e-17,4.343678677694743,-38.0724238294102
820,cell_316,cell_333,104.56015766531677,1.338266980196409e-16,4.649762577208065,-36.549986009334894
821,cell_316,cell_336,142.03495359290392,2.661729726456424e-17,4.956073179373516,-38.16497039633719
822,cell_317,cell_348,557.2120434037078,2.2062945972194658e-17,6.322945855820862,-38.352632125366455
823,cell_318,cell_323,41.80210818281967,1.4200267291008747e-17,3.732946773254595,-38.793270886152285
824,cell_318,cell_326,40.41748515061762,1.1022925586137073e-17,3.699262492093733,-39.04655442571579
825,cell_318,cell_342,167.22741630089016,1.2638408412490882e-17,5.119354660299932,-38.9097912098356
826,cell_318,cell_350,98.42540073194078,9.718030653419827e-18,4.589298908266175,-39.17254868362104
827,cell_318,cell_354,150.14037349530352,6.386009166234778e-18,5.011570679788648,-39.59242214423722
828,cell_319,cell_320,366.2804222641191,7.698134190312454e-17,5.90339922108401,-37.1029685943481
829,cell_319,cell_334,108.81022698837717,2.3434641931859497e-16,4.689605328059239,-35.98973122884461
830,cell_319,cell_351,295.6488229100261,2.42526652573042e-17,5.689172340895904,-38.25800515503102
831,cell_320,cell_335,329.1506551800712,6.864321276591496e-17,5.79651556443316,-37.217609413778256
832,cell_320,cell_351,279.9935512334885,3.923965921868323e-17,5.634766571595056,-37.77684372377254
833,cell_321,cell_327,188.07077437894523,3.361444656066387e-17,5.236818351449339,-37.931575742166146
834,cell_321,cell_337,142.75477418129245,6.7010265974813e-17,4.961128292329181,-37.241685842734704
835,cell_322,cell_340,141.91810604747715,1.0359593904043798e-16,4.9552501732599685,-36.80603354328709
836,cell_323,cell_334,58.09961609866273,7.514717689091138e-17,4.062159056239869,-37.127083124721345
837,cell_323,cell_350,98.91701189659592,2.3503242246329085e-17,4.594281234924382,-38.28939329433051
838,cell_324,cell_328,139.85500207027155,5.117736299442583e-17,4.940606186403908,-37.51123436863033
839,cell_325,cell_332,24.45375664663941,7.626290384890324e-17,3.1967838501978525,-37.11234504191793
840,cell_325,cell_345,128.56474730879515,9.77568560386866e-17,4.856432647542713,-36.86404833898375
841,cell_325,cell_347,12.836051823470434,2.5337049936645817e-17,2.552257760593031,-38.214263925009675
842,cell_325,cell_356,13.175209670714857,5.637793277825958e-17,2.5783370085865527,-37.414453854748885
843,cell_326,cell_333,78.65742151380633,3.865274652064055e-17,4.365101986321536,-37.79191384004802
844,cell_326,cell_342,134.25102114644903,4.697163540513832e-17,4.899711339665067,-37.59698775638174
845,cell_326,cell_349,121.57064103648204,6.213043660351453e-18,4.800495501536297,-39.61988077557836
846,cell_327,cell_329,11.463021906736314,2.6425479963179427e-16,2.4391263682133384,-35.86961788608399
847,cell_327,cell_337,92.29575667562182,1.8310902140131364e-16,4.524998167273479,-36.23644995307485
848,cell_329,cell_330,30.551795195219167,1.8762619911179466e-16,3.419423446418787,-36.212079992957385
849,cell_329,cell_346,225.4581375705617,1.0479265195197245e-16,5.418134499006385,-36.794548019426145
850,cell_330,cell_341,251.7993532000229,9.910543288082349e-18,5.528632552901717,-39.1529325048455
851,cell_330,cell_346,201.45571409409507,2.0485910193193155e-16,5.305569576060573,-36.124209238707714
852,cell_331,cell_343,827.26935807915,5.527357838314256e-18,6.718130347046701,-39.7368217594584
853,cell_331,cell_348,419.3734099745004,3.4666046725298607e-17,6.03876171630177,-37.90077094650354
